time,x,y,yaw,v_lin,v_ang,min_scan
0.024217556,0.0014106609917597668,2.2584539586007836e-05,0.024636464296550257,0.04849999985232844,0.491324733391168,3.5
0.0497182,0.0026800971457089954,6.026413191273356e-05,0.03418374135457316,0.06849999985241996,0.47581264055175704,3.5
0.079854133,0.004348821063366862,0.00012538547042904388,0.043431710266578355,0.08849999985250392,0.46090797622181184,3.5
0.109634759,0.006416423219897036,0.00022484834942612216,0.052392051971745186,0.10849999985258196,0.4465847608951158,0.5969478487968445
0.136817459,0.008882423344137412,0.0003652238973672765,0.06107594894071165,0.12849999985265484,0.4328181884869503,0.5969478487968445
0.166720966,0.011746280479381907,0.0005527710931269703,0.06949410928856042,0.1484999998527225,0.4195846621428106,0.5969478487968445
0.193548149,0.015007401972021646,0.0007934525470534792,0.07765678983955293,0.16849999985278571,0.40686173202336684,0.5969478487968445
0.219827154,0.018665154905860827,0.001092908009958325,0.08556158430727924,0.18849999985284469,0.3946280361764599,0.5969478487968445
0.245713021,0.02271886795577239,0.0014565418480578113,0.09323098673024748,0.20849999985289908,0.3828828600196018,0.6223633289337158
0.271396228,0.02716783483843864,0.0018895563930206364,0.10068529946861074,0.22849999985295094,0.3715859429819047,0.6223633289337158
0.29918719,0.031937857415111015,0.0023890265821793254,0.10792108556335407,0.2413426232031584,0.36070078696545405,0.6223633289337158
0.320037888,0.03674391726727476,0.0029269069207311722,0.11495680102085383,0.24188513189655908,0.3502125326536478,0.6223633289337158
0.346603731,0.04155770181112954,0.003499377883300564,0.12176749489287306,0.24241206850648905,0.34002533152974396,0.6223633289337158
0.374547399,0.04637715438578505,0.004105400469024216,0.12839066508041605,0.2429216681039459,0.33017330475049833,0.6535819172859192
0.398724189,0.051201902530136664,0.004744146323716577,0.13483132714466445,0.24341702683872754,0.32059659483009156,0.6535819172859192
0.42469734,0.0560325623637598,0.005414856730861897,0.14107569845202725,0.24389853423425406,0.31128767115982037,0.6535819172859192
0.448639509,0.06086826646141745,0.006116624473898205,0.14713912213288025,0.24436501010311443,0.3022693501587316,0.6535819172859192
0.476376771,0.06570867066356328,0.006848632620823157,0.15302697582194194,0.24481770280448817,0.2935174974512212,0.6535819172859192
0.504389499,0.07055389296477543,0.007610111774041468,0.15873594961980486,0.24525703126175374,0.2850240140427184,0.6585479974746704
0.529488169,0.07540274412496162,0.008400180652466617,0.16428830437756103,0.2456826894380728,0.2767948165064602,0.6585479974746704
0.558138423,0.08025538442076484,0.009218149618673606,0.16968019637855009,0.24609650482140705,0.26879457424041864,0.6585479974746704
