index,time_s,linear_velocity_mps,angular_velocity_radps
104,3.148,0.2567,0.0636
105,3.186,0.2568,0.0618
106,3.217,0.2569,0.0600
107,3.255,0.2570,0.0582
108,3.285,0.2571,0.0565
109,3.310,0.2572,0.0549
110,3.334,0.2572,0.0533
111,3.357,0.2573,0.0518
112,3.388,0.2574,0.0503
113,3.413,0.2575,0.0488
114,3.441,0.2575,0.0474
115,3.465,0.2576,0.0460
116,3.487,0.2577,0.0447
117,3.513,0.2578,0.0434
118,3.538,0.2578,0.0421
119,3.564,0.2579,0.0409
120,3.588,0.2579,0.0397
121,3.612,0.2580,0.0386
122,3.637,0.2581,0.0375
123,3.661,0.2581,0.0364
124,3.687,0.2582,0.0353
125,3.715,0.2582,0.0343
126,3.741,0.2583,0.0333
127,3.769,0.2583,0.0324
128,3.799,0.2584,0.0314
129,3.823,0.2584,0.0305
130,3.850,0.2585,0.0296
131,3.874,0.2585,0.0288
132,3.901,0.2586,0.0280
133,3.932,0.2586,0.0271
134,3.960,0.2586,0.0264
135,3.988,0.2587,0.0256
136,4.010,0.2587,0.0249
137,4.034,0.2588,0.0242
138,4.061,0.2588,0.0235
139,4.087,0.2588,0.0228
140,4.115,0.2589,0.0221
141,4.138,0.2589,0.0215
142,4.163,0.2589,0.0209
143,4.191,0.2590,0.0203
144,4.217,0.2590,0.0197
145,4.242,0.2590,0.0191
146,4.272,0.2590,0.0186
147,4.296,0.2591,0.0181
148,4.324,0.2591,0.0175
149,4.348,0.2591,0.0170
150,4.373,0.2591,0.0166
151,4.397,0.2592,0.0161
152,4.422,0.2592,0.0156
153,4.453,0.2592,0.0152
154,4.480,0.2592,0.0147
155,4.504,0.2593,0.0143
156,4.534,0.2593,0.0139
157,4.556,0.2593,0.0135
158,4.584,0.2593,0.0131
159,4.609,0.2593,0.0128
160,4.636,0.2594,0.0124
161,4.663,0.2594,0.0120
162,4.686,0.2594,0.0117
163,4.721,0.2594,0.0114
164,4.752,0.2594,0.0110
165,4.783,0.2594,0.0107
166,4.818,0.2595,0.0104
167,4.842,0.2595,0.0101
168,4.873,0.2595,0.0098
169,4.904,0.2595,0.0096
170,4.929,0.2595,0.0093
171,4.962,0.2595,0.0090
172,4.987,0.2595,0.0088
173,5.020,0.2596,0.0085
174,5.053,0.2596,0.0083
175,5.081,0.2596,0.0081
176,5.110,0.2596,0.0078
177,5.136,0.2596,0.0076
178,5.167,0.2596,0.0074
179,5.196,0.2596,0.0072
180,5.223,0.2596,0.0070
181,5.255,0.2596,0.0068
182,5.282,0.2597,0.0066
183,5.316,0.2597,0.0064
184,5.353,0.2597,0.0062
185,5.383,0.2597,0.0061
186,5.416,0.2597,0.0059
187,5.444,0.2597,0.0057
188,5.475,0.2597,0.0056
189,5.509,0.2597,0.0054
190,5.538,0.2597,0.0053
191,5.568,0.2597,0.0051
192,5.593,0.2597,0.0050
193,5.624,0.2598,0.0048
194,5.655,0.2598,0.0047
195,5.679,0.2598,0.0046
196,5.709,0.2598,0.0044
197,5.738,0.2598,0.0043
198,5.764,0.2598,0.0042
199,5.793,0.2598,0.0041
200,5.817,0.2598,0.0040
201,5.845,0.2598,0.0039
202,5.872,0.2598,0.0037
203,5.901,0.2598,0.0036
204,5.934,0.2598,0.0035
205,5.958,0.2598,0.0034
206,5.985,0.2598,0.0033
207,6.010,0.2598,0.0033
208,6.037,0.2598,0.0032
209,6.067,0.2598,0.0031
210,6.092,0.2598,0.0030
211,6.116,0.2598,0.0029
212,6.139,0.2599,0.0028
213,6.162,0.2599,0.0028
214,6.192,0.2599,0.0027
215,6.217,0.2599,0.0026
216,6.239,0.2599,0.0025
217,6.268,0.2599,0.0025
218,6.295,0.2599,0.0024
219,6.336,0.2599,0.0023
220,6.366,0.2599,0.0023
221,6.394,0.2599,0.0022
222,6.422,0.2599,0.0021
223,6.447,0.2599,0.0021
224,6.478,0.2599,0.0020
225,6.504,0.2599,0.0020
226,6.533,0.2599,0.0019
227,6.561,0.2599,0.0019
228,6.589,0.2599,0.0018
229,6.622,0.2599,0.0018
230,6.651,0.2599,0.0017
231,6.677,0.2599,0.0017
232,6.705,0.2599,0.0016
233,6.728,0.2599,0.0016
234,6.769,0.2599,0.0015
235,6.794,0.2599,0.0015
236,6.822,0.2599,0.0015
237,6.853,0.2599,0.0014
238,6.877,0.2599,0.0014
239,6.912,0.2599,0.0013
240,6.939,0.2599,0.0013
241,6.970,0.2599,0.0013
242,7.002,0.2599,0.0012
243,7.026,0.2599,0.0012
244,7.064,0.2599,0.0012
245,7.092,0.2599,0.0011
246,7.117,0.2599,0.0011
247,7.148,0.2599,0.0011
248,7.175,0.2599,0.0011
249,7.212,0.2599,0.0010
250,7.240,0.2599,0.0010
251,7.265,0.2599,0.0010
252,7.292,0.2600,0.0009
253,7.319,0.2600,0.0009
254,7.355,0.2600,0.0009
255,7.382,0.2600,0.0009
256,7.406,0.2600,0.0008
257,7.436,0.2600,0.0008
258,7.460,0.2600,0.0008
259,7.498,0.2600,0.0008
260,7.529,0.2600,0.0008
261,7.559,0.2600,0.0007
262,7.592,0.2600,0.0007
263,7.620,0.2600,0.0007
264,7.654,0.2600,0.0006
265,7.687,0.2600,0.0006
266,7.715,0.2600,0.0006
267,7.749,0.2600,0.0006
268,7.775,0.2600,0.0006
269,7.812,0.2600,0.0006
270,7.841,0.2600,0.0006
271,7.865,0.2600,0.0006
272,7.892,0.2600,0.0006
273,7.918,0.2600,0.0005
274,7.946,0.2600,0.0005
275,7.976,0.2600,0.0005
276,8.004,0.2600,0.0005
277,8.034,0.2600,0.0005
278,8.067,0.2600,0.0005
279,8.092,0.2600,0.0005
280,8.120,0.2600,0.0005
281,8.144,0.2600,0.0004
282,8.173,0.2600,0.0004
283,8.201,0.2600,0.0004
284,8.225,0.2600,0.0004
285,8.254,0.2600,0.0004
286,8.277,0.2600,0.0004
287,8.304,0.2600,0.0004
288,8.335,0.2600,0.0004
289,8.356,0.2600,0.0004
290,8.386,0.2600,0.0004
291,8.410,0.2600,0.0003
292,8.437,0.2600,0.0003
293,8.462,0.2600,0.0003
294,8.490,0.2600,0.0003
295,8.517,0.2600,0.0003
296,8.541,0.2600,0.0003
297,8.566,0.2600,0.0003
298,8.594,0.2600,0.0003
299,8.621,0.2600,0.0003
300,8.647,0.2600,0.0003
301,8.672,0.2600,0.0003
302,8.697,0.2600,0.0003
303,8.723,0.2600,0.0003
304,8.749,0.2600,0.0003
305,8.774,0.2600,0.0002
306,8.798,0.2600,0.0002
307,8.825,0.2600,0.0002
308,8.851,0.2600,0.0002
309,8.875,0.2600,0.0002
310,8.903,0.2600,0.0002
311,8.931,0.2600,0.0002
312,8.954,0.2600,0.0002
313,8.982,0.2600,0.0002
314,9.007,0.2600,0.0002
315,9.035,0.2600,0.0002
316,9.063,0.2600,0.0002
317,9.089,0.2600,0.0002
318,9.122,0.2600,0.0002
319,9.150,0.2600,0.0002
320,9.180,0.2600,0.0002
321,9.210,0.2600,0.0002
322,9.235,0.2600,0.0002
323,9.268,0.2600,0.0002
324,9.295,0.2600,0.0002
325,9.323,0.2600,0.0002
326,9.353,0.2600,0.0001
327,9.378,0.2600,0.0001
328,9.412,0.2600,0.0001
329,9.440,0.2600,0.0001
330,9.468,0.2600,0.0001
331,9.494,0.2600,0.0001
332,9.519,0.2600,0.0001
333,9.546,0.2600,0.0001
334,9.573,0.2600,0.0001
335,9.598,0.2600,0.0001
336,9.625,0.2600,0.0001
337,9.650,0.2600,0.0001
338,9.675,0.2600,0.0001
339,9.704,0.2600,0.0001
340,9.725,0.2600,0.0001
341,9.757,0.2600,0.0001
342,9.782,0.2600,0.0001
343,9.812,0.2600,0.0001
344,9.848,0.2600,0.0001
345,9.878,0.2600,0.0001
346,9.909,0.2600,0.0001
347,9.937,0.2600,0.0001
348,9.971,0.2600,0.0001
349,10.004,0.2600,0.0001
350,10.030,0.2600,0.0001
351,10.065,0.2600,0.0001
352,10.093,0.2600,0.0001
353,10.125,0.2600,0.0001
354,10.159,0.2600,0.0001
355,10.184,0.2600,0.0001
356,10.221,0.2494,-0.5923
357,10.250,0.1092,-1.6762
358,10.277,0.0906,-1.8200
359,10.309,0.0934,-1.8200
360,10.334,0.0962,-1.8200
361,10.364,0.0991,-1.8200
362,10.389,0.1019,-1.8200
363,10.420,0.1047,-1.8200
364,10.453,0.1075,-1.8200
365,10.479,0.1103,-1.8200
366,10.510,0.1131,-1.8200
367,10.540,0.1158,-1.8200
368,10.570,0.1186,-1.8200
369,10.602,0.1214,-1.8200
370,10.625,0.1241,-1.8200
371,10.654,0.1269,-1.8200
372,10.680,0.1296,-1.8200
373,10.707,0.1323,-1.8200
374,10.736,0.1351,-1.8200
375,10.760,0.1378,-1.8200
376,10.786,0.1405,-1.8200
377,10.813,0.1432,-1.8200
378,10.836,0.1460,-1.8200
379,10.868,0.1487,-1.8200
380,10.891,0.1514,-1.8200
381,10.923,0.1541,-1.8200
382,10.954,0.1568,-1.8200
383,10.979,0.1595,-1.8200
384,11.012,0.1621,-1.8200
385,11.036,0.1648,-1.8200
386,11.064,0.1675,-1.7877
387,11.094,0.1702,-1.7366
388,11.119,0.1727,-1.6872
389,11.149,0.1752,-1.6392
390,11.177,0.1776,-1.5928
391,11.205,0.1799,-1.5479
392,11.236,0.1822,-1.5045
393,11.263,0.1844,-1.4624
394,11.297,0.1865,-1.4217
395,11.326,0.1885,-1.3821
396,11.354,0.1905,-1.3439
397,11.382,0.1924,-1.3068
398,11.408,0.1943,-1.2708
399,11.449,0.1961,-1.2360
400,11.477,0.1978,-1.2023
401,11.503,0.1995,-1.1696
402,11.532,0.2011,-1.1378
403,11.557,0.2027,-1.1070
404,11.595,0.2043,-1.0771
405,11.628,0.2058,-1.0482
406,11.663,0.2072,-1.0202
407,11.703,0.2086,-0.9928
408,11.734,0.2100,-0.9664
409,11.767,0.2113,-0.9407
410,11.794,0.2126,-0.9158
411,11.818,0.2139,-0.8917
412,11.845,0.2151,-0.8682
413,11.868,0.2163,-0.8454
414,11.900,0.2174,-0.8233
415,11.928,0.2185,-0.8019
416,11.955,0.2196,-0.7810
417,11.983,0.2207,-0.7607
418,12.011,0.2217,-0.7411
419,12.049,0.2227,-0.7219
420,12.078,0.2236,-0.7034
421,12.104,0.2245,-0.6854
422,12.131,0.2255,-0.6679
423,12.156,0.2263,-0.6509
424,12.194,0.2272,-0.6344
425,12.223,0.2280,-0.6184
426,12.250,0.2288,-0.6028
427,12.280,0.2296,-0.5876
428,12.308,0.2304,-0.5729
429,12.340,0.2311,-0.5586
430,12.367,0.2318,-0.5447
431,12.391,0.2325,-0.5311
432,12.420,0.2332,-0.5180
433,12.444,0.2339,-0.5052
434,12.480,0.2345,-0.4928
435,12.507,0.2351,-0.4808
436,12.531,0.2357,-0.4691
437,12.558,0.2363,-0.4576
438,12.585,0.2369,-0.4465
439,12.614,0.2375,-0.4358
440,12.643,0.2380,-0.4253
441,12.670,0.2385,-0.4151
442,12.700,0.2390,-0.4052
443,12.727,0.2395,-0.3955
444,12.756,0.2400,-0.3861
445,12.784,0.2405,-0.3770
446,12.810,0.2410,-0.3681
447,12.836,0.2414,-0.3595
448,12.862,0.2418,-0.3511
449,12.884,0.2423,-0.3429
450,12.908,0.2427,-0.3350
451,12.941,0.2431,-0.3273
452,12.983,0.2435,-0.3198
453,13.017,0.2438,-0.3125
454,13.045,0.2442,-0.3054
455,13.076,0.2446,-0.2985
456,13.105,0.2449,-0.2917
457,13.136,0.2452,-0.2852
458,13.166,0.2456,-0.2788
459,13.194,0.2459,-0.2726
460,13.228,0.2462,-0.2666
461,13.256,0.2465,-0.2608
462,13.283,0.2468,-0.2551
463,13.312,0.2471,-0.2496
464,13.340,0.2474,-0.2442
465,13.369,0.2476,-0.2389
466,13.396,0.2479,-0.2338
467,13.422,0.2482,-0.2289
468,13.451,0.2484,-0.2240
469,13.478,0.2487,-0.2194
470,13.507,0.2489,-0.2148
471,13.535,0.2491,-0.2104
472,13.562,0.2493,-0.2061
473,13.590,0.2496,-0.2019
474,13.618,0.2498,-0.1978
475,13.644,0.2500,-0.1938
476,13.668,0.2502,-0.1900
477,13.697,0.2504,-0.1862
478,13.728,0.2506,-0.1826
479,13.753,0.2507,-0.1790
480,13.785,0.2509,-0.1756
481,13.815,0.2511,-0.1723
482,13.842,0.2513,-0.1690
483,13.870,0.2514,-0.1659
484,13.897,0.2516,-0.1628
485,13.925,0.2517,-0.1598
486,13.953,0.2519,-0.1569
487,13.976,0.2520,-0.1541
488,14.004,0.2522,-0.1514
489,14.031,0.2523,-0.1488
490,14.059,0.2524,-0.1462
491,14.090,0.2526,-0.1438
492,14.114,0.2527,-0.1414
493,14.147,0.2528,-0.1390
494,14.174,0.2529,-0.1368
495,14.204,0.2530,-0.1346
496,14.231,0.2531,-0.1325
497,14.256,0.2533,-0.1305
498,14.280,0.2534,-0.1285
499,14.307,0.2535,-0.1266
500,14.330,0.2535,-0.1248
501,14.362,0.2556,-0.0845
502,14.385,0.2558,-0.0820
503,14.413,0.2559,-0.0797
504,14.438,0.2560,-0.0775
505,14.462,0.2561,-0.0753
506,14.486,0.2562,-0.0732
507,14.507,0.2563,-0.0711
508,14.528,0.2564,-0.0691
509,14.555,0.2565,-0.0672
510,14.579,0.2566,-0.0653
511,14.609,0.2567,-0.0635
512,14.634,0.2568,-0.0617
513,14.663,0.2569,-0.0600
514,14.692,0.2570,-0.0583
515,14.718,0.2571,-0.0567
516,14.749,0.2571,-0.0551
517,14.775,0.2572,-0.0536
518,14.804,0.2573,-0.0521
519,14.835,0.2574,-0.0506
520,14.862,0.2575,-0.0492
521,14.894,0.2575,-0.0479
522,14.922,0.2576,-0.0465
523,14.949,0.2577,-0.0452
524,14.980,0.2577,-0.0440
525,15.007,0.2578,-0.0428
526,15.039,0.2578,-0.0416
527,15.066,0.2579,-0.0404
528,15.095,0.2580,-0.0393
529,15.126,0.2580,-0.0382
530,15.152,0.2581,-0.0372
531,15.180,0.2581,-0.0362
532,15.205,0.2582,-0.0352
533,15.232,0.2582,-0.0342
534,15.263,0.2583,-0.0332
535,15.291,0.2583,-0.0323
536,15.322,0.2584,-0.0314
537,15.354,0.2584,-0.0306
538,15.378,0.2585,-0.0297
539,15.414,0.2585,-0.0289
540,15.442,0.2585,-0.0281
541,15.471,0.2586,-0.0274
542,15.497,0.2586,-0.0266
543,15.524,0.2587,-0.0259
544,15.558,0.2587,-0.0252
545,15.581,0.2587,-0.0245
546,15.608,0.2588,-0.0238
547,15.633,0.2588,-0.0232
548,15.662,0.2588,-0.0226
549,15.695,0.2589,-0.0219
550,15.721,0.2589,-0.0213
551,15.750,0.2589,-0.0208
552,15.778,0.2590,-0.0202
553,15.802,0.2590,-0.0197
554,15.833,0.2590,-0.0191
555,15.857,0.2590,-0.0186
556,15.884,0.2591,-0.0181
557,15.911,0.2591,-0.0176
558,15.935,0.2591,-0.0171
559,15.965,0.2591,-0.0167
560,15.991,0.2592,-0.0162
561,16.019,0.2592,-0.0158
562,16.048,0.2592,-0.0154
563,16.071,0.2592,-0.0150
564,16.110,0.2592,-0.0146
565,16.142,0.2593,-0.0142
566,16.163,0.2593,-0.0138
567,16.189,0.2593,-0.0134
568,16.212,0.2593,-0.0131
569,16.250,0.2593,-0.0127
570,16.276,0.2594,-0.0124
571,16.301,0.2594,-0.0121
572,16.330,0.2594,-0.0117
573,16.354,0.2594,-0.0114
574,16.389,0.2594,-0.0111
575,16.416,0.2594,-0.0108
576,16.436,0.2595,-0.0105
577,16.463,0.2595,-0.0103
578,16.487,0.2595,-0.0100
579,16.520,0.2595,-0.0097
580,16.544,0.2595,-0.0095
581,16.565,0.2595,-0.0092
582,16.593,0.2595,-0.0090
583,16.617,0.2595,-0.0088
584,16.653,0.2596,-0.0085
585,16.681,0.2596,-0.0083
586,16.708,0.2596,-0.0081
587,16.741,0.2596,-0.0079
588,16.767,0.2596,-0.0077
589,16.803,0.2596,-0.0075
590,16.832,0.2596,-0.0073
591,16.857,0.2596,-0.0071
592,16.885,0.2596,-0.0069
593,16.909,0.2597,-0.0067
594,16.947,0.2597,-0.0066
595,16.975,0.2597,-0.0064
596,17.000,0.2597,-0.0062
597,17.028,0.2597,-0.0061
598,17.061,0.2597,-0.0059
599,17.086,0.2597,-0.0058
600,17.111,0.2597,-0.0056
601,17.136,0.2597,-0.0055
602,17.160,0.2597,-0.0053
603,17.184,0.2597,-0.0052
604,17.212,0.2597,-0.0051
605,17.240,0.2597,-0.0049
606,17.265,0.2598,-0.0048
607,17.291,0.2598,-0.0047
608,17.316,0.2598,-0.0046
609,17.345,0.2598,-0.0045
610,17.372,0.2598,-0.0044
611,17.395,0.2598,-0.0042
612,17.424,0.2598,-0.0041
613,17.459,0.2598,-0.0040
614,17.482,0.2598,-0.0039
615,17.510,0.2598,-0.0038
616,17.535,0.2598,-0.0037
617,17.562,0.2598,-0.0037
618,17.591,0.2598,-0.0036
619,17.614,0.2598,-0.0035
620,17.642,0.2598,-0.0034
621,17.667,0.2598,-0.0033
622,17.690,0.2598,-0.0032
623,17.717,0.2598,-0.0032
624,17.743,0.2598,-0.0031
625,17.769,0.2598,-0.0030
626,17.797,0.2598,-0.0029
627,17.823,0.2599,-0.0029
628,17.853,0.2599,-0.0028
629,17.879,0.2599,-0.0027
630,17.909,0.2599,-0.0027
631,17.931,0.2599,-0.0026
632,17.957,0.2599,-0.0025
633,17.983,0.2599,-0.0025
634,18.007,0.2599,-0.0024
635,18.032,0.2599,-0.0024
636,18.056,0.2599,-0.0023
637,18.082,0.2599,-0.0023
638,18.108,0.2599,-0.0022
639,18.133,0.2599,-0.0022
640,18.160,0.2599,-0.0021
641,18.192,0.2599,-0.0021
642,18.213,0.2599,-0.0020
643,18.243,0.2599,-0.0020
644,18.268,0.2599,-0.0019
645,18.293,0.2599,-0.0019
646,18.321,0.2599,-0.0018
647,18.346,0.2599,-0.0018
648,18.375,0.2599,-0.0018
649,18.401,0.2599,-0.0017
650,18.424,0.2599,-0.0017
651,18.453,0.2599,-0.0016
652,18.474,0.2599,-0.0016
653,18.499,0.2599,-0.0016
654,18.524,0.2599,-0.0015
655,18.552,0.2599,-0.0015
656,18.578,0.2599,-0.0015
657,18.602,0.2599,-0.0014
658,18.628,0.2599,-0.0014
659,18.657,0.2599,-0.0014
660,18.677,0.2599,-0.0014
661,18.703,0.2599,-0.0013
662,18.726,0.2599,-0.0013
663,18.752,0.2599,-0.0013
664,18.780,0.2599,-0.0012
665,18.807,0.2599,-0.0012
666,18.836,0.2599,-0.0012
667,18.857,0.2599,-0.0012
668,18.885,0.2599,-0.0011
669,18.918,0.2599,-0.0011
670,18.939,0.2599,-0.0011
671,18.964,0.2599,-0.0011
672,18.987,0.2599,-0.0011
673,19.013,0.2599,-0.0010
674,19.042,0.2599,-0.0010
675,19.064,0.2599,-0.0010
676,19.095,0.2599,-0.0010
677,19.120,0.2599,-0.0010
678,19.149,0.2600,-0.0010
679,19.180,0.2600,-0.0009
680,19.204,0.2600,-0.0009
681,19.232,0.2600,-0.0009
682,19.258,0.2600,-0.0009
683,19.287,0.2600,-0.0009
684,19.315,0.2600,-0.0009
685,19.339,0.2600,-0.0008
686,19.366,0.2600,-0.0008
687,19.391,0.2600,-0.0008
688,19.418,0.2600,-0.0008
689,19.449,0.2600,-0.0008
690,19.472,0.2600,-0.0008
691,19.497,0.2600,-0.0008
692,19.523,0.2600,-0.0008
693,19.547,0.2600,-0.0007
694,19.577,0.2590,0.0194
695,19.602,0.2590,0.0189
696,19.627,0.2590,0.0184
697,19.656,0.2591,0.0179
698,19.683,0.2591,0.0174
699,19.718,0.2591,0.0169
700,19.744,0.2592,0.0164
701,19.775,0.2592,0.0159
702,19.805,0.2592,0.0155
703,19.831,0.2592,0.0151
704,19.862,0.2592,0.0146
705,19.887,0.2593,0.0142
706,19.916,0.2593,0.0138
707,19.945,0.2593,0.0135
708,19.972,0.2593,0.0131
709,20.009,0.2593,0.0127
710,20.035,0.2594,0.0124
711,20.063,0.2594,0.0120
712,20.089,0.2594,0.0117
713,20.114,0.2594,0.0114
714,20.149,0.2594,0.0110
715,20.178,0.2594,0.0107
716,20.204,0.2595,0.0104
717,20.229,0.2595,0.0102
718,20.255,0.2595,0.0099
719,20.285,0.2595,0.0096
720,20.311,0.2595,0.0093
721,20.339,0.2595,0.0091
722,20.368,0.2595,0.0088
723,20.394,0.2596,0.0086
724,20.427,0.2596,0.0083
725,20.454,0.2596,0.0081
726,20.481,0.2596,0.0079
727,20.511,0.2596,0.0077
728,20.538,0.2596,0.0075
729,20.579,0.2596,0.0073
730,20.605,0.2596,0.0071
731,20.636,0.2596,0.0069
732,20.668,0.2597,0.0067
733,20.692,0.2597,0.0065
734,20.732,0.2597,0.0063
735,20.758,0.2597,0.0061
736,20.785,0.2597,0.0060
737,20.814,0.2597,0.0058
738,20.839,0.2597,0.0057
739,20.872,0.2597,0.0055
740,20.896,0.2597,0.0054
741,20.919,0.2597,0.0052
742,20.944,0.2597,0.0051
743,20.968,0.2597,0.0049
744,21.001,0.2598,0.0048
745,21.029,0.2598,0.0047
746,21.052,0.2598,0.0045
747,21.084,0.2598,0.0044
748,21.109,0.2598,0.0043
749,21.150,0.2598,0.0677
750,21.179,0.2599,0.0664
751,21.208,0.2600,0.0644
752,21.237,0.2599,0.0625
753,21.263,0.2598,0.0607
754,21.298,0.2379,0.1733
755,21.329,0.2379,0.1702
756,21.355,0.2379,0.1660
757,21.388,0.2379,0.1620
758,21.415,0.2379,0.1580
759,21.446,0.1887,0.2056
760,21.476,0.1887,0.2015
761,21.501,0.1887,0.1973
762,21.533,0.1887,0.1931
763,21.564,0.1887,0.1890
764,21.592,0.1559,0.2221
765,21.622,0.1559,0.2182
766,21.646,0.1559,0.2140
767,21.671,0.1559,0.2100
768,21.705,0.1559,0.2060
769,21.731,0.1531,-0.1661
770,21.764,0.1439,-1.2934
771,21.789,0.1297,-1.8200
772,21.818,0.1297,-1.8200
773,21.844,0.1297,-1.8200
774,21.876,0.1070,-1.8200
775,21.904,0.1070,-1.8200
776,21.932,0.1070,-1.8200
777,21.964,0.1070,-1.8200
778,21.994,0.1070,-1.8200
779,22.020,0.0675,-1.8200
780,22.050,0.0675,-1.8200
781,22.075,0.0675,-1.8200
782,22.100,0.0675,-1.8200
783,22.129,0.0675,-1.8200
784,22.154,0.0605,-1.8200
785,22.186,0.0605,-1.8200
786,22.212,0.0605,-1.8200
787,22.239,0.0605,-1.8200
788,22.269,0.0605,-1.8200
789,22.297,0.0600,-1.8200
790,22.326,0.0600,-1.8200
791,22.352,0.0600,-1.8200
792,22.380,0.0600,-1.8200
793,22.411,0.0600,-1.8200
794,22.437,0.0600,-1.8200
795,22.468,0.0600,-1.8200
796,22.494,0.0600,-1.8200
797,22.523,0.0600,-1.8200
798,22.553,0.0600,-1.8200
799,22.581,0.0618,-1.5655
800,22.612,0.0600,-1.2742
801,22.639,0.0600,-1.2742
802,22.666,0.0600,-1.2742
803,22.698,0.0600,-1.2742
804,22.728,0.0600,-1.4400
805,22.756,0.0600,-1.4400
806,22.784,0.0600,-1.4400
807,22.809,0.0600,-1.4400
808,22.840,0.0600,-1.4400
809,22.868,0.0600,-1.5429
810,22.899,0.0600,-1.5429
811,22.931,0.0600,-1.5429
812,22.957,0.0600,-1.5429
813,22.988,0.0600,-1.5429
814,23.027,0.0600,-1.5874
815,23.062,0.0600,-1.5874
816,23.093,0.0600,-1.5874
817,23.119,0.0600,-1.5874
818,23.149,0.0600,-1.5874
819,23.180,0.0600,-1.6076
820,23.211,0.0600,-1.6076
821,23.240,0.0600,-1.6076
822,23.265,0.0600,-1.6076
823,23.296,0.0600,-1.6076
824,23.325,0.0677,-1.7899
825,23.351,0.0694,-1.7899
826,23.382,0.0694,-1.7899
827,23.405,0.0694,-1.7899
828,23.436,0.0694,-1.7899
829,23.463,0.0789,-1.6431
830,23.492,0.0945,-1.6431
831,23.523,0.0916,-1.6431
832,23.548,0.0887,-1.6431
833,23.576,0.0859,-1.6431
834,23.609,0.0830,-1.6736
835,23.634,0.0801,-1.6736
836,23.663,0.0772,-1.6736
837,23.689,0.0743,-1.6736
838,23.715,0.0715,-1.6736
839,23.743,0.0686,-1.7116
840,23.773,0.0657,-1.7116
841,23.803,0.0628,-1.7116
842,23.828,0.0600,-1.7116
843,23.856,0.0600,-1.7116
844,23.890,0.0600,-1.5492
845,23.916,0.0600,-1.5492
