index,time_s,linear_velocity_mps,angular_velocity_radps
1,0.183,-0.0000,-0.0000
2,0.185,-0.0000,-0.0000
3,0.186,-0.0000,-0.0000
4,0.187,0.0013,0.1593
5,0.187,0.0182,1.1914
6,0.210,0.0425,1.2239
7,0.240,0.0625,1.1850
8,0.270,0.0825,1.1475
9,0.299,0.1025,1.1114
10,0.327,0.1225,1.0767
11,0.358,0.1425,1.0433
12,0.386,0.1625,1.0110
13,0.415,0.1825,0.9800
14,0.446,0.2025,0.9500
15,0.473,0.2124,0.9212
16,0.508,0.2138,0.8933
17,0.538,0.2152,0.8663
18,0.571,0.2165,0.8402
19,0.602,0.2179,0.8149
20,0.624,0.2191,0.7903
21,0.652,0.2204,0.7664
22,0.682,0.2215,0.7434
23,0.710,0.2227,0.7210
24,0.738,0.2238,0.6994
25,0.762,0.2249,0.6784
26,0.791,0.2260,0.6580
27,0.829,0.2270,0.6383
28,0.872,0.2280,0.6191
29,0.905,0.2289,0.6006
30,0.933,0.2299,0.5826
31,0.973,0.2308,0.5651
32,1.005,0.2316,0.5482
33,1.034,0.2325,0.5318
34,1.067,0.2333,0.5159
35,1.095,0.2341,0.5006
36,1.127,0.2349,0.4856
37,1.160,0.2356,0.4712
38,1.193,0.2364,0.4571
39,1.231,0.2371,0.4435
40,1.259,0.2377,0.4302
41,1.290,0.2384,0.4174
42,1.324,0.2391,0.4050
43,1.352,0.2397,0.3929
44,1.392,0.2403,0.3812
45,1.421,0.2409,0.3699
46,1.459,0.2414,0.3589
47,1.500,0.2420,0.3482
48,1.527,0.2425,0.3379
49,1.559,0.2430,0.3279
50,1.587,0.2435,0.3181
51,1.616,0.2440,0.3087
52,1.647,0.2445,0.2996
53,1.673,0.2450,0.2907
54,1.710,0.2454,0.2821
55,1.737,0.2458,0.2737
56,1.765,0.2463,0.2656
57,1.796,0.2467,0.2578
58,1.825,0.2471,0.2501
59,1.855,0.2474,0.2428
60,1.882,0.2478,0.2356
61,1.914,0.2482,0.2287
62,1.949,0.2485,0.2219
63,1.974,0.2489,0.2153
64,2.006,0.2492,0.2090
65,2.034,0.2495,0.2028
66,2.063,0.2498,0.1968
67,2.096,0.2501,0.1910
68,2.126,0.2504,0.1854
69,2.168,0.2507,0.1799
70,2.196,0.2510,0.1747
71,2.221,0.2512,0.1695
72,2.246,0.2515,0.1645
73,2.270,0.2517,0.1597
74,2.309,0.2520,0.1550
75,2.337,0.2522,0.1504
76,2.360,0.2524,0.1460
77,2.390,0.2527,0.1417
78,2.414,0.2529,0.1376
79,2.449,0.2531,0.1335
80,2.474,0.2533,0.1296
81,2.498,0.2535,0.1258
82,2.524,0.2537,0.1221
83,2.548,0.2539,0.1185
84,2.580,0.2540,0.1151
85,2.608,0.2542,0.1117
86,2.631,0.2544,0.1084
87,2.663,0.2546,0.1052
88,2.687,0.2547,0.1022
89,2.721,0.2549,0.0992
90,2.750,0.2550,0.0963
91,2.773,0.2552,0.0935
92,2.800,0.2553,0.0907
93,2.825,0.2554,0.0881
94,2.857,0.2556,0.0855
95,2.886,0.2557,0.0830
96,2.907,0.2558,0.0806
97,2.933,0.2560,0.0782
98,2.957,0.2561,0.0760
99,2.990,0.2562,0.0737
100,3.024,0.2563,0.0716
101,3.052,0.2564,0.0695
102,3.088,0.2565,0.0675
103,3.118,0.2566,0.0655
